,user_id,2stg_own
64,65,"[953675, 1056746, 7168026, 12188045, 5580793]"
65,66,"[1008173, 971922, 916381, 837107, 1014509]"
66,67,"[10457532, 8181355, 1104414, 825006, 885863]"
67,68,"[1125530, 831509, 1115228, 821976, 854976]"
68,69,"[5570109, 6979427, 1124507, 877523, 852182]"
69,70,"[923746, 1127831, 5978656, 1005186, 826249]"
70,71,"[1110764, 1093030, 1097458, 878128, 1050482]"
71,72,"[858649, 987234, 931255, 945805, 5592734]"
72,73,"[1088959, 1113385, 999090, 5577022, 1112238]"
73,74,"[906763, 1138024, 12731432, 903183, 5569374]"
74,75,"[1082185, 6534178, 1029743, 995242, 1106523]"
75,76,"[9527290, 854754, 899682, 1016782, 985386]"
76,77,"[1054216, 997988, 996028, 829323, 7410168]"
77,78,"[912817, 1067779, 989249, 911609, 8205218]"
78,79,"[927110, 853522, 825176, 973889, 851287]"
79,80,"[1106073, 968992, 992529, 10150148, 899844]"
80,81,"[822346, 1078741, 5570408, 1004945, 837751]"
81,82,"[1127831, 832001, 1116682, 1065538, 1113111]"
82,83,"[1076195, 1013503, 873964, 1037332, 1019881]"
83,84,"[1049133, 829722, 13876901, 852856, 1034081]"
84,85,"[1122547, 1131321, 1093413, 1038746, 864048]"
85,86,"[1055155, 990984, 995311, 931255, 7166791]"
86,87,"[919180, 5592888, 951590, 881883, 1081710]"
87,88,"[879689, 971949, 932503, 10285185, 12949590]"
88,89,"[923746, 852856, 5978656, 1127831, 951590]"
89,90,"[1116096, 951590, 1135552, 1104414, 5592888]"
90,91,"[999391, 1110409, 835618, 829722, 911088]"
91,92,"[6463752, 6463775, 1077588, 909750, 10285389]"
92,93,"[1076105, 904833, 949991, 842707, 1007082]"
93,94,"[1020581, 1131351, 908408, 826249, 1134398]"
94,95,"[1138858, 5568489, 885863, 968936, 970455]"
95,96,"[1072685, 896761, 826860, 1084036, 904973]"
96,97,"[950894, 987044, 825365, 1056746, 1099656]"
97,98,"[908504, 9707240, 1086504, 1139471, 1000806]"
98,99,"[5569303, 865992, 1124507, 6034953, 1135566]"
99,100,"[15926844, 857503, 15972298, 1099164, 1088959]"
100,101,"[15926927, 827180, 1038746, 870195, 1119089]"
101,102,"[951590, 835431, 934399, 1033403, 844991]"
102,103,"[12757140, 961458, 1113820, 9524291, 827570]"
103,104,"[1004945, 1014802, 822346, 996156, 1133157]"
104,105,"[1068830, 995478, 831509, 1105623, 937845]"
105,106,"[1095068, 878445, 1071277, 905868, 926763]"
106,107,"[6463742, 993804, 972665, 1060529, 883963]"
107,108,"[7167967, 7025326, 5591154, 7025250, 879689]"
108,109,"[884039, 6034966, 1020823, 889731, 1085696]"
109,110,"[1093413, 1046957, 1044655, 925579, 998270]"
110,111,"[878290, 5568995, 1019643, 1137507, 929726]"
111,112,"[5566697, 998119, 895295, 951971, 1137775]"
112,113,"[12352204, 5591154, 979057, 1137505, 961756]"
113,114,"[933303, 1042021, 7025203, 1113381, 880469]"
114,115,"[1055155, 12188045, 991223, 9487885, 1077359]"
115,116,"[938300, 1091858, 857503, 1019247, 887618]"
116,117,"[996028, 962671, 891752, 852360, 866528]"
117,118,"[851287, 893018, 1085846, 1003178, 9803483]"
118,119,"[1136719, 906905, 6534035, 1119399, 1043142]"
119,120,"[1082185, 6534178, 1029743, 995242, 1106523]"
120,121,"[988208, 12132315, 1134109, 830775, 1115228]"
121,122,"[9859133, 1025535, 1043837, 821976, 940731]"
122,123,"[1137507, 977545, 931860, 12185235, 1065331]"
123,124,"[823721, 914190, 984669, 951221, 1048462]"
124,125,"[884039, 5591083, 881883, 1073775, 1076875]"
125,126,"[10456568, 5570109, 7166861, 1136732, 1007549]"
126,127,"[1006188, 886481, 13417590, 869910, 7166817]"
127,128,"[1134109, 1026984, 1098927, 985181, 7466252]"
128,129,"[938547, 1070105, 1056746, 896369, 993592]"
129,130,"[1019247, 998049, 9362429, 8290587, 823862]"
130,131,"[948086, 1045121, 865992, 925579, 1077588]"
131,132,"[1126704, 995478, 920200, 1036139, 1021522]"
132,133,"[852572, 1031697, 1008074, 1101706, 899459]"
133,134,"[1076105, 1135504, 862152, 1015974, 972665]"
134,135,"[829950, 6552253, 870929, 903350, 885863]"
135,136,"[1030981, 5568489, 849297, 822739, 1027642]"
136,137,"[894968, 5591154, 935126, 957164, 987628]"
137,138,"[897194, 1085696, 1065167, 927360, 9707240]"
138,139,"[12754036, 9673830, 1036139, 9187298, 1132789]"
139,140,"[1017325, 1051283, 907061, 827656, 945998]"
140,141,"[996070, 6034964, 824005, 904833, 1127831]"
141,142,"[969941, 1048068, 887342, 9416729, 1082172]"
142,143,"[918684, 957741, 877358, 831712, 9836195]"
143,144,"[1027773, 849505, 908181, 887618, 1017325]"
144,145,"[7025203, 10149863, 1115358, 1103902, 1121393]"
145,146,"[1096317, 1003178, 853522, 1004945, 837751]"
146,147,"[1017887, 960791, 9524291, 1085846, 828106]"
147,148,"[1109948, 999581, 12301839, 867020, 985160]"
148,149,"[913682, 856435, 9553288, 838097, 6533936]"
149,150,"[1127831, 9527323, 851129, 1066783, 902172]"
150,151,"[6602697, 8069230, 907128, 969205, 6464147]"
151,152,"[917381, 1037332, 843756, 1048068, 993441]"
152,153,"[995230, 9859128, 1106064, 1125530, 821556]"
153,154,"[1101858, 1036347, 7025490, 971852, 957741]"
154,155,"[979877, 865705, 838319, 833458, 891752]"
155,156,"[891752, 7167967, 1038998, 993804, 963502]"
156,157,"[835243, 1122928, 906763, 9296804, 854496]"
157,158,"[892503, 911454, 1100124, 862799, 12425418]"
158,159,"[940731, 1066069, 873203, 5569303, 912280]"
159,160,"[988416, 960732, 1034886, 900418, 1053282]"
160,161,"[940090, 911388, 860501, 6463742, 5591083]"
161,162,"[1120928, 9707498, 7166817, 825176, 902856]"
162,163,"[1001412, 1128399, 879445, 999198, 832678]"
163,164,"[957741, 10285389, 1074697, 960984, 7409974]"
164,165,"[9835408, 7024990, 6703789, 6464086, 9707240]"
165,166,"[961792, 985579, 9803601, 1106064, 1070272]"
166,167,"[862799, 980263, 922561, 888543, 997988]"
167,168,"[948086, 6602697, 880427, 857503, 883003]"
168,169,"[944139, 826249, 5569230, 938187, 852856]"
169,170,"[868683, 1048068, 8069230, 854496, 7144131]"
170,171,"[12385374, 1012922, 845078, 8291322, 5591154]"
171,172,"[853235, 890695, 823704, 826695, 906838]"
172,173,"[961554, 951590, 923746, 1127831, 826249]"
173,174,"[1077048, 835243, 885863, 920844, 841228]"
174,175,"[869903, 1046587, 1104414, 897088, 1006188]"
175,176,"[883817, 844748, 871756, 941295, 12425418]"
176,177,"[1109192, 880377, 837107, 9526412, 992649]"
177,178,"[862152, 961458, 1024938, 1043142, 884039]"
178,179,"[9526410, 999858, 912137, 1040842, 12301100]"
179,180,"[907061, 929726, 9673980, 838396, 9859133]"
180,181,"[919427, 6773016, 12731714, 919180, 957741]"
181,182,"[927110, 5568995, 14077333, 908408, 1004475]"
182,183,"[1013291, 1022848, 6463727, 840601, 1042616]"
183,184,"[900175, 9187298, 14077333, 1025535, 1136486]"
184,185,"[932949, 1007148, 835243, 9523058, 892503]"
185,186,"[1082185, 6534178, 1029743, 995242, 1106523]"
186,187,"[1097458, 5588161, 878290, 869150, 982799]"
187,188,"[1007148, 1062572, 7144131, 1127838, 821970]"
188,189,"[940700, 1137775, 842707, 1026332, 7462562]"
189,190,"[937489, 6514160, 9527323, 1131321, 1040346]"
190,191,"[1036347, 1007082, 1002850, 7168417, 1104349]"
191,192,"[970760, 903183, 1019247, 1056775, 899459]"
192,193,"[1019142, 12132315, 1015597, 999631, 1130777]"
193,194,"[857503, 12132315, 837865, 977481, 10455579]"
194,195,"[1095040, 5565252, 8180870, 862866, 935646]"
195,196,"[1075979, 822225, 1096317, 921614, 821219]"
196,197,"[838319, 981660, 883218, 1115175, 997988]"
197,198,"[957741, 1131312, 953675, 931255, 1036139]"
198,199,"[995311, 869047, 1134633, 934131, 1012913]"
199,200,"[12731714, 999207, 829950, 13382327, 12326050]"
200,201,"[849129, 973916, 1099905, 863529, 9707240]"
201,202,"[961791, 1127838, 9487603, 950638, 5588161]"
202,203,"[844175, 5570408, 1071336, 839346, 1014509]"
203,204,"[9707199, 1106091, 827656, 1000236, 1064213]"
204,205,"[1110409, 1121656, 935968, 1115577, 1072523]"
205,206,"[903463, 880150, 1046689, 8291322, 1019247]"
206,207,"[909761, 985105, 5996469, 873203, 830775]"
207,208,"[845078, 1017772, 913682, 996028, 854133]"
208,209,"[1037332, 1048260, 825365, 897194, 932503]"
209,210,"[15972298, 908181, 867622, 12428017, 1019142]"
210,211,"[1017325, 1006878, 856942, 7168026, 866528]"
211,212,"[854976, 852572, 961747, 858649, 883218]"
212,213,"[919596, 1109374, 867931, 866043, 12988031]"
213,214,"[6633224, 853643, 887428, 1019643, 1007148]"
214,215,"[9526412, 929341, 899844, 1121393, 8181451]"
215,216,"[6533936, 8203834, 867622, 1077359, 892503]"
216,217,"[943169, 1000002, 847207, 998239, 972665]"
217,218,"[919180, 1015974, 858373, 5565151, 913406]"
218,219,"[880969, 939323, 843689, 825180, 831712]"
219,220,"[1085846, 1132789, 9836195, 9527066, 1105467]"
220,221,"[1050968, 937413, 1065167, 1119942, 959931]"
221,222,"[924531, 1120009, 932503, 819330, 8069230]"
222,223,"[1019247, 1051283, 850139, 12731432, 10150148]"
223,224,"[998270, 913278, 826860, 5591154, 988208]"
224,225,"[1083733, 1082814, 918368, 1121656, 998189]"
225,226,"[1073902, 12695224, 8180870, 5570595, 932503]"
226,227,"[1100533, 1107824, 1035136, 996156, 968936]"
227,228,"[838319, 819330, 1134810, 1019643, 1124507]"
228,229,"[1042616, 912451, 880308, 1019247, 993804]"
229,230,"[6534030, 822346, 1021522, 1110042, 9832160]"
230,231,"[1050583, 1014238, 1088414, 933835, 1116096]"
231,232,"[869577, 1064945, 1074697, 1059593, 1011089]"
232,233,"[15926927, 936594, 979057, 13382073, 872137]"
233,234,"[945199, 844179, 13072850, 993685, 977545]"
234,235,"[7167967, 887342, 968687, 1100379, 1054215]"
235,236,"[869903, 1106091, 915617, 9707498, 996028]"
236,237,"[6463949, 1084613, 6553737, 906509, 914190]"
237,238,"[1013407, 9859112, 828106, 1005935, 1070272]"
238,239,"[927291, 1131607, 919180, 937276, 1017772]"
239,240,"[5978656, 940217, 923746, 916122, 961554]"
240,241,"[961554, 951590, 1104414, 923746, 863447]"
241,242,"[1046587, 1135573, 1000236, 919180, 866528]"
242,243,"[993441, 960075, 967476, 7025250, 1135044]"
243,244,"[1109805, 877358, 10285185, 9526624, 12428017]"
244,245,"[1113820, 8181355, 12731517, 868683, 929341]"
245,246,"[819304, 1048472, 1074362, 1065061, 7441498]"
246,247,"[1023958, 968072, 1115228, 823862, 974177]"
247,248,"[10455579, 1101706, 938622, 850133, 1131321]"
248,249,"[853172, 897194, 1015974, 12262992, 1005609]"
249,250,"[1076161, 13382073, 1013503, 7441210, 919180]"
250,251,"[882496, 937276, 10355978, 849297, 954673]"
251,252,"[923746, 13115894, 5978656, 826249, 1005186]"
252,253,"[992985, 950894, 979057, 899844, 992650]"
253,254,"[10121965, 822225, 1004945, 1102949, 952698]"
254,255,"[846502, 871570, 8090513, 919180, 7168383]"
255,256,"[823176, 1012284, 850058, 1074697, 5568995]"
256,257,"[837107, 1109374, 12132315, 1089025, 837751]"
257,258,"[850058, 12132648, 1085696, 945200, 963226]"
258,259,"[1126294, 954495, 849505, 1043142, 881154]"
259,260,"[967476, 912704, 888111, 1139835, 1102949]"
260,261,"[823704, 925766, 990656, 12132685, 1054747]"
261,262,"[842707, 1048068, 1035136, 853643, 7025326]"
262,263,"[871754, 965543, 12132315, 991546, 1000002]"
263,264,"[999391, 862152, 885863, 8069230, 966695]"
264,265,"[8090513, 866878, 1105623, 857503, 1098910]"
265,266,"[1104414, 924423, 1104349, 9365106, 1048068]"
266,267,"[923746, 916122, 5978656, 826249, 935393]"
267,268,"[9297474, 1051283, 882496, 12132648, 884333]"
268,269,"[993685, 15741861, 1122085, 969419, 849505]"
269,270,"[863762, 961269, 1019099, 947201, 5591520]"
270,271,"[880469, 7462562, 8203782, 824005, 1044759]"
271,272,"[1082185, 6534178, 1029743, 995242, 1106523]"
272,273,"[855356, 852080, 999625, 1004475, 9707498]"
273,274,"[883932, 1106073, 1093030, 8180870, 927860]"
274,275,"[7025362, 10150013, 1081262, 966348, 5570408]"
275,276,"[825180, 5588161, 966348, 898432, 991223]"
276,277,"[922561, 1016800, 957164, 844179, 9245108]"
277,278,"[856215, 903183, 1122547, 9297154, 1043142]"
278,279,"[940731, 842125, 12731432, 1007148, 1104414]"
279,280,"[999625, 1096261, 1053282, 987234, 1139525]"
280,281,"[1018050, 862070, 1054567, 1034686, 5591814]"
281,282,"[1059593, 843756, 1035691, 938118, 1014948]"
282,283,"[961756, 1031697, 12988031, 1108094, 1107973]"
283,284,"[971053, 997988, 909249, 834808, 935317]"
284,285,"[825176, 862335, 992933, 1071342, 850139]"
285,286,"[1110764, 1072968, 9676866, 5592888, 6040065]"
286,287,"[5563934, 937413, 5588161, 940278, 928640]"
287,288,"[1048068, 953675, 892376, 904833, 1038746]"
288,289,"[9553288, 881883, 1053282, 1113385, 1127838]"
289,290,"[8180870, 849297, 969205, 13876914, 899844]"
290,291,"[858649, 10355978, 1085780, 825365, 1020823]"
291,292,"[8020234, 1131321, 838396, 948953, 1060872]"
292,293,"[943076, 1043142, 5568447, 1136732, 1085696]"
293,294,"[1070105, 1065331, 934172, 990762, 990656]"
294,295,"[1131500, 5981074, 1127831, 1008173, 941797]"
295,296,"[5569230, 1005186, 8273950, 961554, 10121965]"
296,297,"[1071302, 1085846, 6979221, 1062572, 7167687]"
297,298,"[1043663, 962229, 852572, 7433888, 893400]"
298,299,"[826249, 1005186, 951590, 1127831, 923746]"
299,300,"[1121656, 1076161, 1127838, 887897, 838396]"
300,301,"[878857, 853643, 12428017, 837751, 1065331]"
301,302,"[1104414, 12188584, 898432, 924531, 821976]"
302,303,"[1021715, 9419444, 982955, 957741, 905690]"
303,304,"[973086, 979057, 12132315, 1085357, 835285]"
304,305,"[987044, 1000237, 943169, 1109374, 1128244]"
305,306,"[1021522, 12731432, 828106, 1042021, 863529]"
306,307,"[999250, 995502, 858373, 852014, 1076195]"
307,308,"[7410019, 905996, 1065331, 1043787, 1115358]"
308,309,"[915617, 890695, 1037965, 1115577, 902856]"
309,310,"[859075, 852486, 997988, 1025611, 1018050]"
310,311,"[991951, 977543, 1082454, 962671, 840609]"
311,312,"[1053985, 841228, 1135460, 1125382, 866878]"
312,313,"[923746, 5569230, 826249, 847344, 1127831]"
313,314,"[6633342, 899844, 9553288, 906763, 852080]"
314,315,"[1022053, 1012941, 844179, 909306, 904129]"
315,316,"[997907, 1072685, 864532, 918368, 945805]"
316,317,"[5568447, 885863, 12132315, 12301839, 931671]"
317,318,"[1085846, 1121636, 1056746, 5570408, 853998]"
318,319,"[9523058, 825365, 1008074, 1105467, 10150148]"
319,320,"[997988, 1121636, 861675, 1117514, 883932]"
320,321,"[822739, 12731714, 1009977, 1036347, 864048]"
321,322,"[13876914, 1014948, 822739, 912280, 913026]"
322,323,"[852014, 923746, 1005186, 937292, 931671]"
323,324,"[1002178, 1127838, 995478, 8293343, 967476]"
324,325,"[13417846, 1082172, 950439, 5570109, 1137505]"
325,326,"[5978656, 933248, 977545, 982393, 1101010]"
326,327,"[951590, 826249, 1043730, 894425, 1110632]"
327,328,"[1040346, 7025326, 6463367, 9858742, 1136375]"
328,329,"[1086384, 1022119, 856215, 1015974, 1081710]"
329,330,"[1108854, 1031697, 971504, 14025461, 12301073]"
330,331,"[1121624, 997988, 945805, 896085, 1102067]"
331,332,"[1056746, 12428017, 1003178, 9365106, 834303]"
332,333,"[843689, 5565252, 937301, 918368, 1130729]"
333,334,"[844054, 962671, 5996469, 835285, 913026]"
334,335,"[856345, 899844, 883268, 1022827, 1048046]"
335,336,"[1015280, 995055, 1096317, 1072685, 1085846]"
336,337,"[12427353, 9526564, 906509, 1075283, 1107039]"
337,338,"[939636, 1035136, 1015785, 6703742, 993804]"
338,339,"[13190294, 12731432, 912451, 835243, 823565]"
339,340,"[821845, 7409880, 1046587, 837366, 1025535]"
340,341,"[906838, 826249, 912704, 1101706, 892314]"
341,342,"[908504, 877358, 1122547, 1084551, 956284]"
342,343,"[1007549, 1103618, 1084613, 1075505, 926233]"
343,344,"[843756, 7441210, 1048068, 917381, 857503]"
344,345,"[977545, 921836, 9677874, 945200, 6602697]"
345,346,"[9803483, 5565252, 835098, 982955, 883616]"
346,347,"[1133556, 1110409, 1020210, 1127831, 828106]"
347,348,"[1021522, 995055, 1119942, 932503, 969205]"
348,349,"[967144, 5569374, 907099, 945805, 844179]"
349,350,"[9527323, 961792, 13072850, 12810391, 1076875]"
350,351,"[1091383, 961756, 837865, 986021, 1127025]"
351,352,"[1022053, 5978656, 835098, 894968, 923746]"
352,353,"[12132315, 968687, 825180, 6514160, 995211]"
353,354,"[879689, 9523058, 961458, 1011089, 827180]"
354,355,"[887661, 905087, 826249, 1127831, 5569845]"
355,356,"[841686, 835619, 947798, 1064945, 1026334]"
356,357,"[13417846, 12428017, 1006188, 6463775, 935968]"
357,358,"[1013407, 998119, 864048, 1048727, 1096261]"
358,359,"[1112238, 826249, 838396, 951971, 845078]"
359,360,"[1020581, 941734, 919596, 913406, 918368]"
360,361,"[12132315, 954642, 824758, 1005609, 9296856]"
361,362,"[1053282, 8276172, 7135183, 12731714, 5569172]"
362,363,"[871756, 923746, 5569230, 916122, 826249]"
363,364,"[869910, 923670, 5569172, 965138, 6552253]"
364,365,"[855718, 1076161, 986021, 9859128, 1136719]"
365,366,"[998270, 1074697, 5565252, 1075283, 934156]"
366,367,"[935126, 5565151, 856345, 6533936, 967476]"
367,368,"[926763, 1133157, 1109948, 932949, 1138772]"
368,369,"[989409, 12781777, 1042942, 1035207, 929309]"
369,370,"[5565252, 9365106, 6551861, 1131321, 13008321]"
370,371,"[953675, 991223, 1048068, 880150, 973889]"
371,372,"[1094107, 995211, 905636, 980860, 12428017]"
372,373,"[8203342, 937791, 826249, 5569230, 961554]"
373,374,"[1110111, 1136486, 9526412, 1108094, 1075786]"
374,375,"[6463949, 957164, 1127831, 951590, 1071342]"
375,376,"[1121367, 945200, 1083733, 12262992, 940700]"
376,377,"[1042021, 867622, 1075170, 1079820, 857503]"
377,378,"[884039, 830304, 954642, 967476, 905690]"
378,379,"[1082185, 6534178, 1029743, 995242, 1106523]"
379,380,"[12188584, 1075786, 962185, 1005935, 871756]"
380,381,"[980860, 1106073, 885863, 959737, 9527323]"
381,382,"[999250, 9364612, 7168383, 937489, 1108131]"
382,383,"[1136719, 1071277, 1109014, 964011, 9859128]"
383,384,"[979057, 1007116, 1027642, 1112238, 852182]"
384,385,"[1139786, 972665, 9297017, 1119089, 954642]"
385,386,"[921614, 818981, 933303, 12757140, 911470]"
386,387,"[1056775, 5591520, 1113274, 1134633, 996028]"
387,388,"[1021715, 995211, 952806, 918368, 6463775]"
388,389,"[1085696, 9707240, 991223, 913682, 921836]"
389,390,"[850139, 1078763, 977481, 1077745, 1042616]"
390,391,"[952806, 869150, 927400, 991951, 845193]"
391,392,"[908504, 12262830, 878857, 8069230, 963835]"
392,393,"[887897, 5570595, 940731, 1070105, 1055155]"
393,394,"[1107973, 1038497, 995478, 925766, 867272]"
394,395,"[1021715, 1046587, 1048462, 9416729, 12757316]"
395,396,"[1135460, 1109374, 1135573, 10457110, 1121393]"
396,397,"[905690, 1109374, 1064945, 1115228, 957164]"
397,398,"[884333, 9527066, 957741, 963502, 1019881]"
398,399,"[9488055, 1110218, 1078763, 992292, 972931]"
399,400,"[962671, 835618, 857503, 7410019, 991747]"
400,401,"[5566809, 876932, 892503, 858373, 1122547]"
401,402,"[880150, 909129, 13382073, 1000237, 853643]"
402,403,"[936355, 968072, 1014509, 905996, 871061]"
403,404,"[992986, 1107973, 1083733, 1131312, 9420140]"
404,405,"[1093030, 929472, 858373, 866878, 1135460]"
405,406,"[945805, 10455579, 1134810, 988439, 1110409]"
406,407,"[902172, 1019247, 826249, 866043, 1025641]"
407,408,"[862799, 12384953, 980263, 12428017, 1062572]"
408,409,"[880308, 1065331, 9553288, 878290, 7166791]"
409,410,"[1101175, 10149597, 10344585, 1124507, 1050968]"
410,411,"[823704, 5564906, 995478, 9707498, 870614]"
411,412,"[1084036, 952781, 14077333, 6633342, 5569172]"
412,413,"[970160, 5565151, 1126704, 887428, 969941]"
413,414,"[1045121, 1102067, 827656, 921614, 831509]"
414,415,"[5569230, 9526410, 1005186, 970119, 9553288]"
415,416,"[915086, 990469, 1083733, 827180, 9859128]"
416,417,"[1098910, 945200, 1007116, 1070272, 10457532]"
417,418,"[964011, 7167687, 884039, 1048068, 873203]"
418,419,"[950894, 1037332, 1007549, 12185235, 1137483]"
419,420,"[1121059, 888835, 1012922, 850133, 9420337]"
420,421,"[10150013, 945200, 978077, 5570109, 1107420]"
421,422,"[937789, 7409974, 1134810, 962991, 960984]"
422,423,"[951590, 1085778, 826249, 937614, 871337]"
423,424,"[835285, 995478, 1077588, 945805, 6533878]"
424,425,"[1138772, 1000237, 936897, 1037332, 959737]"
425,426,"[1121393, 8203720, 1130111, 1000237, 855718]"
426,427,"[982360, 835300, 1028944, 1074516, 1015597]"
427,428,"[821976, 1137507, 963502, 1023958, 5588161]"
428,429,"[1038998, 1092303, 1048260, 829950, 6464147]"
429,430,"[877358, 943076, 1048260, 1127838, 881883]"
430,431,"[12731583, 955431, 1096635, 998352, 7442180]"
431,432,"[900175, 1017369, 869577, 871061, 941797]"
432,433,"[896613, 1044299, 945652, 1019881, 1076195]"
433,434,"[834303, 943088, 1137505, 1102067, 1096099]"
434,435,"[5569845, 826249, 854496, 970160, 929726]"
435,436,"[879689, 941797, 1038325, 1120275, 1073546]"
436,437,"[1105623, 1062863, 9677886, 1042021, 1120009]"
437,438,"[5568447, 869150, 954495, 13072850, 910439]"
438,439,"[1002178, 1136524, 1041031, 890999, 1124432]"
439,440,"[1082185, 6534178, 1029743, 995242, 1106523]"
440,441,"[1060363, 885863, 1001412, 903183, 899844]"
441,442,"[882496, 850133, 857503, 1030981, 1133390]"
442,443,"[12188584, 838396, 857503, 1112598, 982393]"
443,444,"[1053282, 5588161, 1020210, 971504, 1075505]"
444,445,"[820347, 12326050, 937789, 7166791, 1136732]"
445,446,"[1103752, 6463727, 844991, 1136719, 1127831]"
446,447,"[1082172, 1055155, 1074697, 947292, 926763]"
447,448,"[937489, 9487553, 1128016, 933060, 887984]"
448,449,"[9527290, 7168383, 1078763, 1130029, 8177622]"
449,450,"[1062782, 974108, 1093413, 7025204, 828106]"
450,451,"[9859133, 866528, 835618, 1107973, 873203]"
451,452,"[944852, 839747, 1014948, 891648, 1109192]"
452,453,"[843689, 918368, 985866, 12731436, 1019247]"
453,454,"[956284, 961747, 1130777, 846959, 997988]"
454,455,"[954673, 999965, 1104414, 897752, 8019273]"
455,456,"[1135460, 1089025, 1042021, 1091809, 1113381]"
456,457,"[1086483, 878445, 5570595, 871756, 1058779]"
457,458,"[925579, 885863, 901776, 1053282, 7409907]"
458,459,"[970760, 13007435, 1110764, 935126, 1115576]"
459,460,"[988439, 862732, 7464370, 1089954, 873902]"
460,461,"[983000, 1014948, 918684, 1126704, 841762]"
461,462,"[982393, 10150013, 12132648, 8180870, 1106073]"
462,463,"[1041031, 12524174, 830304, 9365106, 835243]"
463,464,"[9297017, 938622, 1013528, 881883, 9296856]"
464,465,"[947798, 1014999, 14077333, 1131312, 1108024]"
465,466,"[895652, 980666, 918368, 940700, 1019722]"
466,467,"[1027773, 911470, 989830, 9296804, 917654]"
467,468,"[821845, 1044759, 899844, 985234, 979057]"
468,469,"[8203834, 1001298, 1000237, 995478, 1071277]"
469,470,"[937791, 1119399, 845193, 1112766, 970619]"
470,471,"[1060705, 6633342, 1119405, 1098927, 869577]"
